"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MYOCD",-1.72631094430299,6.51809580636765,-4.75231668357096,0.000115438065697795,0.017293651625555,1.31173356713018
"S100A16",-1.24697866195472,8.48631787328945,-4.73457158780163,0.00012033883716494,0.0176514310815075,1.27344543020436
"LMOD1",-1.50644864033834,8.1622049211181,-4.68491800502836,0.000135198693773734,0.0187065247876084,1.16620485412108
"HOXD13",-1.20535659562386,4.59875590063765,-4.66957314213181,0.000140155866894142,0.018968664876281,1.13303367936566
"RND3",-1.12859754165217,9.84022814819058,-4.66660441182415,0.00014113589937709,0.018968664876281,1.12661458151286
"NBL1",-1.2623594430085,8.86170851238892,-4.61762289656724,0.000158341713132308,0.0200466476202135,1.02063498150674
"PCDH7",-1.04559442432524,5.556449340956,-4.60147212235999,0.000164467141184548,0.020176040932953,0.985662439572295
"FAM167A",-1.08734619092995,4.76547593052191,-4.59773523903075,0.000165918126227774,0.020176040932953,0.977568807460083
"EFS",-1.54120467892213,8.09406058450809,-4.59209238974675,0.000168133674441275,0.020176040932953,0.965345782464048
"EFEMP1",-1.21794286632654,6.39338309370478,-4.58342012405613,0.000171596954136429,0.0202812078456724,0.946557694456363
"ACSBG1",-1.34910680467561,5.39974905928905,-4.58066514242836,0.000172712142964671,0.0203109480126453,0.94058839052551
"EID3",-1.20023684242439,5.62589370938098,-4.53506305154831,0.000192269745837262,0.0215342115337733,0.841730303122199
"DPT",-1.57479243435024,6.47336309406113,-4.52812719966661,0.00019543397216258,0.021588686915926,0.826686484747444
"MYH11",-1.18319956618024,9.30897758372612,-4.52127017262562,0.000198613798321141,0.0218289557780992,0.811811667127052
"FBXO17",-1.23685140700807,5.9198114169734,-4.51500703321716,0.000201563733210605,0.0220501349075043,0.798223478244398
"C3orf70",-1.32454573714045,6.73786681789428,-4.50058405979076,0.000208525837339513,0.0224145028066769,0.766926183342485
"LINC00092",-1.11241416988024,5.94324888772613,-4.43463381653666,0.000243576293588409,0.0241212226024145,0.623719947086512
"TIMP3",-1.0616480156036,8.47767789351006,-4.40940076382052,0.000258504237891263,0.0249181134229611,0.568890956637175
"ROR2",-1.47998139951982,6.91512839169061,-4.3842456461875,0.000274301635729737,0.0259099376400137,0.514213770368589
"LSAMP",-1.70133284672358,6.61167535470761,-4.36235316809933,0.00028883764707365,0.0262535006988901,0.466615537304368
"KCNK3",-1.56210601900111,6.19446601977299,-4.35927539308241,0.000290942324388072,0.0262838471192833,0.459923024961509
