D_GSM1348933.CEL	D_GSM1348934.CEL	D_GSM1348935.CEL	D_GSM1348936.CEL	D_GSM1348938.CEL	D_GSM1348939.CEL	D_GSM1348940.CEL	D_GSM1348941.CEL	D_GSM1348942.CEL	D_GSM1348943.CEL	D_GSM1348944.CEL	D_GSM1348945.CEL	H_GSM1348946.CEL	H_GSM1348947.CEL	H_GSM1348949.CEL	H_GSM1348950.CEL	H_GSM1348951.CEL	H_GSM1348952.CEL	H_GSM1348953.CEL
LINC00992 /// LINC00992	8.22785736126222	7.89630739281979	6.30794435120785	6.25902821970138	8.24112391557354	8.24027071038653	8.63600565093192	8.31726371952948	8.5792769312972	7.39327180258715	8.05930353807047	7.7172783608052	4.83859108616574	4.15659376982116	7.2363601405183	6.53937127680345	5.74039638819723	5.24523920372688	6.53521238563279
ZNF577	7.70786892889697	7.05536425189198	6.79841632021617	6.31353313805279	8.92923597766416	6.97753300936272	7.43364505333166	6.43614477847221	7.61038769060653	7.31105150718347	5.96910777400314	8.01894600250778	5.73701741064219	5.37339583502086	5.27321760201891	5.58585758793542	6.11224306528354	5.95959968001525	5.58656157388346
MMP26	9.78359363899946	8.18797046258353	5.84113356383172	7.49152028934744	9.38782187778034	6.71001688332155	8.39338737120055	7.04899729499578	9.48211841456656	5.9640471048532	8.55580108786429	8.78469827863281	4.50106952507732	4.66897506069526	6.01605446254131	6.96513603529413	5.12488533184584	4.40367954029486	4.84462323744679
LOC101928099	6.08843930447775	5.26342540878775	4.76839040023675	5.15938111996078	5.43869042774344	5.44603370027995	5.2700071198371	6.33763171023608	5.00108559488437	4.74064600358929	4.38575493565923	6.53093246180686	3.95087511993377	4.75260000211605	3.18944682716604	3.6343964858915	3.91407408676695	4.15574997176866	4.32686090729835
P2RX5	6.11945326481293	6.7427998540705	5.35809804867731	5.70068981768454	6.60841483557591	5.65327494974728	7.0591799327474	7.09256190181152	7.29370041270269	5.69509761659902	6.67089103535244	6.79872560782649	3.92696120467282	5.91872835395142	5.07840466092257	3.96680959055938	4.62844756936914	5.29470196680768	5.19164199875595
LINC00324	6.69080715209452	7.02695989374196	5.9650805121945	6.43099529279456	7.23769260540656	7.20159324535839	7.02562151354155	5.6999650255668	6.46560544714476	5.87639296061228	6.33628766770168	6.21583395573496	5.87100617872861	5.19624573427826	5.18897852549266	5.66644386969644	5.49626040543941	5.76865708508246	4.78599942930156
NEK5	6.93628656477266	6.83975693772036	6.55364989403515	6.33839205980288	8.19014989739989	5.92091094697567	7.4035359538721	6.59869831131515	7.32259986357282	7.72991144502972	7.27166976464693	8.52428907552889	5.58264506649932	5.79523664703757	5.64480539033851	6.02724595759034	5.94662907382902	5.87114612229177	5.35188524279249
GLYATL1	5.46170792475025	6.16859327204178	5.24155402338557	4.37035292573089	7.23528682755084	5.79300426345869	5.73392087304147	5.07923883630623	6.43849946179833	6.40859761464911	5.71633318344226	7.17019223472731	4.42437940725178	3.96601599894595	3.70445426040166	4.09710020436518	3.96516582832682	5.46001712258654	4.06088828749561
KIF4A	5.73895774565718	5.00840493537704	4.42976510121584	4.817691495978	5.16414578344762	5.45403482884825	4.94874376744379	5.4474480882337	5.04696765332927	4.04719360162056	5.55475282390254	4.57958955805934	3.14174499510188	4.19588393524847	4.05356352918186	3.98103376987739	3.17309848856698	4.70021891980261	3.93722700063878
AMACR	8.81609537671377	6.82694515884963	5.81655131909479	7.30247228912324	11.0875993353341	10.257830149891	8.90940277415566	9.51806687656366	8.32444377356309	6.68740785311147	10.9398772661788	10.8183988211078	5.09139569606675	4.68195487741704	7.33035363897672	5.93671379725846	5.28736373626583	5.32369476596626	5.14835392132229
EFCAB4A	8.97722889648964	9.38713162547243	7.90209722925225	9.03698552716769	9.09588944949587	7.30990759844288	9.93282661953009	8.79738413710286	9.3868734416199	9.06734503045667	8.881745934339	8.67389009175757	7.16413611213276	7.92018956916854	7.63808946472623	7.27459247541964	6.84447399973791	8.50799875847899	7.1015791671742
LOC100507472 /// PCSK6	5.87981511357128	5.99608938086796	4.61720840335398	5.11111477188327	6.48607898873425	6.42590465548177	6.11661505605982	6.06915403706244	5.93157554103676	5.72810468889116	6.4445817134223	6.56614887149434	4.45168206673927	4.83559606399601	4.78478794444183	5.04774092145387	5.04943496090251	5.19232912539091	4.97116503576703
TRPM4	11.1562808117749	10.5895998654102	9.30730893571076	10.1866273855181	11.1951893784071	9.85136822232712	10.0040633089884	11.2330876375726	10.3104044359299	9.58414139553754	10.9400575975882	10.2068543685994	7.82524163952707	8.50666848780124	9.64092915827282	9.75896038993905	9.48763820686732	9.11048564972434	8.53960400128213
SLIT1	4.89802314298364	4.42247119261283	4.28374086499379	4.57391612587641	6.1260634831011	6.77235127452931	6.22319838970455	5.20717772598097	5.70921958381037	4.89901147277032	6.60300417565551	6.50276786902211	4.03887388966967	3.73643159655992	4.37187521155428	3.52135216462055	4.17323657082863	3.92015391214199	3.99543033172377
LOC100505938	7.74928387201031	8.21295610363209	6.81875006232459	6.90870833648793	7.38635174817897	7.35082492466016	8.68813736583255	6.87546614773873	8.36270592823117	6.35002009874778	8.05863028837359	7.64139902686471	5.26826621751476	5.88530206931897	6.58268132709227	6.73798059141447	6.51227323625149	6.4083741254705	4.6826390456973
PRAC1	11.0787683376034	11.4455939111078	10.8277526941354	10.8692029209591	11.8637757979109	11.1750747955052	11.8286450420868	11.6624312053976	11.9796329746152	10.9193484926005	11.9921211346598	11.5571917534268	9.51645218957852	9.8238920380337	10.5954608968647	11.030806130487	11.0123264763872	10.5250492033751	10.3208807271161
CCDC78	6.73106488407226	7.65806195558639	6.41887771877342	5.7705257613786	8.67828021551703	7.0733661656979	8.03245444981918	5.66734473051881	6.82643480760818	5.68177513794629	8.68600742862547	6.84142482225749	5.28646996719974	5.1495579712421	5.06890805842456	5.91187465066228	5.12121071263041	5.1757465190104	4.56560832411499
PYCR1	7.65906011848769	8.06392118524611	6.14060610442363	6.75951358293095	7.68131133569445	7.75450738743323	7.94012969399897	7.0209136067542	7.57503416405431	6.65886929577335	8.02733696647416	7.41981960886579	4.51597631081943	5.69872408835245	6.84640205006947	6.51735777524378	6.46378017719507	5.98932826834201	6.33428758428204
SIM2	7.24991849156825	6.99628888440648	7.00533832133936	7.73391205636803	7.73324088655886	6.99693797507012	8.57028606458439	7.2347605916762	8.64808593421483	7.43894449640449	7.4180073094368	7.61440928624478	4.66154212690217	6.25747825082269	7.23902300403867	7.20710145766397	6.2572357303801	6.05860944836825	5.59980591181911
APOF	7.92383553459455	6.15612997349719	5.21707781229218	5.75292633798365	6.18986999107357	5.40497571836528	7.39618613621621	7.38216205806523	7.18397742040656	5.31593059985185	6.50026988416853	6.83897398439597	3.77351494027422	4.62234277196504	5.57995365132207	5.57160587468435	5.428248669314	3.6493746427721	4.60138899244625
CGREF1	6.48022889368186	7.67426536756698	5.33873137906994	5.13294764891709	7.22201704887823	5.72065150765328	6.05826952108881	6.31255275390087	6.65133513204367	4.89246946593092	7.00316699787116	6.28871289081143	4.8148645818874	4.23784744533501	5.56970449305142	4.89078019539284	4.88941403574745	4.91556158272881	4.58132796045375
TARP /// TRGC2 /// TRGV9	12.2739095488556	13.2994116733054	11.5280440454355	12.1053280235836	12.6283103802564	12.2902166173995	12.7234197282087	12.8938720634576	13.2229308866599	12.0174656649703	11.5383126973039	12.7469795875283	9.98325388208395	8.72641645747533	12.348923696129	10.8728722765782	10.3674103511747	11.9478077912341	11.3311268770853
ADAM2	3.99620269139296	3.55596141428946	4.35556056108776	5.09282385335972	4.03935427726119	5.32170932762221	6.8284705449994	5.08256040179677	6.31137774121465	5.1357645908891	4.80868506911189	6.79073728820402	3.77773141275167	3.57307110628452	2.86506853846316	3.25642162343328	4.1393285694855	3.06122860662401	3.1797485266323
C14orf39	6.9577438030563	7.29621939132251	5.9354124191443	5.99535766447769	8.12007062228384	7.52185848106602	7.72300919538339	6.52713780393544	7.87240170017588	6.67961390947771	8.41652360570883	7.91653112880264	5.73312731704289	6.47458618014849	5.94309593019859	6.54453217369858	5.36223485056915	5.19726324943692	5.82004198243241
MS4A8	5.65331874222411	8.50657492468687	5.43216125149231	7.81205043906575	10.3293998119349	11.1896425153221	8.73410326273149	8.36483794600998	6.79234211227386	5.71135192495854	8.73926156489754	9.06524379874198	3.67085823359866	3.13065439969703	6.35634376236968	6.3826091065294	4.30057346401477	5.05919797590436	5.6923880628965
LOC101060264	8.04090237843938	7.16896436160763	5.92588620823743	6.2353077929305	8.76965934515318	7.38428008519125	8.63864361812979	7.04924488751731	8.0502267623205	6.64718751459012	8.46012713900821	9.30944290068053	6.13973360140821	6.22874225484416	6.37676245928456	6.10861681013827	5.77162001603069	5.82656815364345	5.6125883923447
SMPDL3B	4.82721956864684	5.45842113788289	3.81013743679459	4.10789797827286	5.63518526817007	4.83963006916845	5.40434837232288	5.63119535089883	5.60245465046704	4.65117669218396	5.43216162097218	5.21868744749372	3.62476322763714	3.74339434754293	4.13182566327587	4.60949227546616	4.36350399209278	4.15554257908591	3.69848265738088
DNAH5	9.02761099412781	9.14293045313751	7.21918405913499	8.35445933662809	10.2226660327374	10.0479458372346	9.91767608162563	9.20839473942937	9.25954480764035	8.44749357972526	9.70188894742027	10.893821561236	4.46405344466084	7.00197155447967	8.68890075926116	8.81236345596524	7.78035754122721	6.30535250708537	7.04013141405468
EPCAM	11.0168811180106	11.5962925900249	10.4831999060366	10.0962487960058	11.2507811552071	11.4902289743613	11.225629848808	11.2973348700135	11.6733045424858	11.0758694261168	11.5321236001346	11.6139802372424	8.73481796054494	9.7757835176398	10.5887760740412	10.3585687419859	10.4352918404732	10.65042688716	10.6149942923196
CHKB-CPT1B /// CPT1B	8.94689303291065	8.98995807204536	8.61353744345609	9.20325277092921	9.14108968987931	8.60110891627411	9.65934855906466	8.04536719792707	8.67604462636592	9.72202377598051	9.13382097778436	9.35744842927483	7.08998098449964	9.6438759050268	7.38532064558249	7.17393498636901	7.66177944908141	7.63986843869523	8.31534231083332
SLC45A2	5.86359007183004	4.92870003107585	4.17244884338187	5.78050297662266	8.75898144595658	7.8080716183973	5.90389314688055	5.6739862079635	4.77831970079559	5.61134926098832	6.69049424826292	8.539998257987	3.75558454947118	4.1313062008086	4.2077349212738	4.58945228841117	4.0110301570223	4.04121343573678	4.17959708503373
MATR3	6.61645499965264	5.64501033279136	6.29650655879356	7.62021297318935	9.17135782328566	6.42926628178377	6.76994332797482	7.49842422573812	8.06577027286333	7.36042534136109	8.74437418869639	7.81254860541535	5.26920017369655	5.61914111321545	4.13846790386835	5.60342437994035	5.85542662607102	6.67456398755619	6.37830743569958
C1orf64	6.1765816216664	4.74638677491227	5.30141022413529	6.21448750736143	6.90514420750932	5.41299989329696	6.1021219693394	6.82692674896331	7.31914076508835	6.06528169264267	5.72025178609266	5.31269577179213	4.76250163664177	4.54490227815391	5.32572896840097	4.73845931627231	5.03376119333026	5.12771141555617	4.76943677186935
THBS4	11.7282555906526	10.9334052566875	7.44368766740053	9.03379694477553	10.31762579182	10.2708738422548	8.06045276860483	10.4406169963614	8.53941462053415	9.32553430738228	11.8015704452979	9.17135782328566	8.24819885527846	5.52596465676663	8.39510572982306	8.2123260482485	8.23196917435077	7.31100599687901	6.91475924510307
NAALADL2	6.85106878500554	8.01700480404892	6.1716917336451	5.78244077438681	6.33314811102219	7.6010733417248	7.31186755535441	7.23482946729023	6.13616820892646	5.90846443868537	7.47706829500847	7.31743302252476	5.46567926572887	5.67671762988869	6.05355339059318	5.90177433990162	5.37721952459175	6.29982982177103	5.36702787192287
STIL	7.83598962178168	7.37213403360605	7.54117502391313	7.74010067347713	9.07911623870541	8.91625723918074	8.57901896626805	8.40716323731375	8.70588234852209	8.60782336486363	9.15671038216967	9.88991240548667	7.08057652850011	7.09240915205965	7.38117108719302	7.53572212986742	7.65514154026708	7.45574153021511	7.67046024736253
SMKR1	4.62844756936914	5.29318621355546	4.41470395978398	4.1496161193639	5.24852076265932	3.7044356465609	4.77111944146203	5.1261299880415	4.84627768656086	3.93932946475563	6.49534714831385	5.23648652463329	3.11367326466649	4.19208716429787	2.95127032038096	3.6061920836671	3.23944028667273	4.41470395978398	3.9304714304991
TXLNB	4.50689579964482	5.44914884072104	3.25762869056336	2.87940083779008	5.5052266502165	4.25071041754722	2.89201262420478	4.16098754373491	4.0762797252215	2.98488121544693	5.09324013825756	4.5873679178535	2.87531623770209	2.74747713933595	2.77415037975386	2.60469018028225	2.97511611979244	3.04815347051486	2.61863851792423
FLJ22184	4.85238055545934	5.92196711557083	4.73628863236294	5.30907470088725	5.69722946187485	6.01887112580189	7.16510507696901	5.02203841848214	5.78463345467723	5.28159106072021	7.1799808071134	5.7678550879173	4.51018864421884	4.97963234384316	4.49116770235559	4.75744805843674	4.49558639445444	4.39764120171473	4.64774186615789
ZNF30	6.83504790990194	9.32410815371472	7.19977634459637	7.70538581570178	8.40410066857511	7.35416208626354	7.53352955907698	6.94519172066233	7.47286486763649	7.45456336225476	9.00513535753675	8.76990298879722	7.13701180758029	6.20179858731882	6.97040138656675	6.48038339913071	6.84213580757628	6.57595763066144	6.32016748000194
ZIC2	7.9442386429106	3.78286384011225	4.98498965905401	3.85737479805499	3.15034307721901	6.21573078388091	5.53961322735211	4.24009203412731	4.68879538595601	5.29888971639803	6.39596054972296	8.62557834198132	3.04236848641315	3.1434601761184	3.27430642682145	3.07964432289628	3.57412150576108	2.84459492873654	3.16109098613796
GLIDR /// LOC728903	8.13760941370441	9.14150607314091	8.51363292729988	8.27854103826949	9.84617768410351	10.2979846840638	9.42397144384779	9.475721234137	9.75224817783313	8.84686754607459	9.19560981568676	10.4012654719631	7.36785286775122	7.47510401729736	8.40377389353115	8.09285450736529	8.691159300926	8.63392835063353	8.34737224938845
HIST1H2AM	6.72437921228661	5.82254862405136	5.91705427439782	4.98121354516439	6.62914457882611	4.7837669141893	6.03408645838341	5.35056755879036	5.48823055213808	4.8956423555547	4.56560832411499	4.99058717402373	4.33359622512945	3.84788317878194	4.72884642061438	4.52265433539684	4.98914741141683	4.01096617428624	4.80467779790891
RP11-111M22.4	6.08546227933544	5.64628948158172	5.81493392419312	5.95884680216099	7.56715203159897	4.81941838429008	7.41664157958576	5.83874916454236	6.8590562855503	6.65048696418418	7.08850903200296	8.15691455489119	5.68312273166636	5.6799689099189	4.47709818812001	4.96309090642948	5.05874658908118	5.40331307013435	4.73093408111996
NOX4	5.62385458049876	4.57853199157154	3.85149780359185	3.79266452938307	4.45763877139756	4.15455891401266	3.72036055993398	4.45955153364835	4.21641621928821	3.64563218466992	6.40667834532334	3.57834734428307	3.44618339781947	3.69693460109737	2.88129797850012	3.02969091710271	3.31810546255787	3.1724458481142	2.85722224223071
LOC102724156	6.64656090694669	7.16033561300876	6.92047225597085	6.35522853365963	6.70763150147028	5.74336225210849	8.40720082346208	7.41171573053818	8.43977162716353	7.65067746903671	7.23540845163444	7.0261641167185	6.39344929090896	4.84128956564147	5.84562406425771	6.30175611864965	5.88905112179502	6.68035606284666	5.71221270802556
SLC7A11	5.79195065221228	6.25406864759287	4.47109280786689	4.9316378513763	6.43366204952212	7.86075752660531	5.81260211923248	6.67185211781803	6.47399349937408	5.00698840788003	6.52595037813258	6.31131170458927	4.41662383757833	4.43395839519432	4.40550740213892	5.39523660721539	4.86076421303643	4.732595482373	5.15396285349084
LOC101927085	4.68839993579648	4.72519300750789	4.02842755114442	3.98386641787533	5.87469225680241	6.4978334690456	4.59616475397992	4.75777131549398	4.80928303882667	3.7279479786156	5.62101912994425	5.38651389511531	3.74112985436844	3.85782983824144	3.82344160191273	3.84499774162104	3.92392425220792	3.4704248458654	3.92485667855648
LOC283177	7.28083834323401	6.10239170927419	6.4763299370746	6.08902197213405	5.28930969190877	5.09240461122604	8.4459585344593	7.59678792789124	8.36648942767769	7.96645259698512	6.59112020481244	8.57351340397127	4.94657044378027	4.64255632750541	5.98983823229374	5.42941151754254	5.04707947931827	5.64798135700074	5.64976759639135
VSTM2L	8.95509534221667	8.32896119620832	7.4409756996661	7.37177641649571	9.57528602570512	10.5418528480357	8.09467872187314	9.78509341865547	7.60922715565614	7.80766558188356	9.38417873935609	9.9660335152507	6.98021445935735	6.82258732248517	7.61902386873563	7.9037020918753	7.24929109925895	7.0430195934031	7.24480779495028
INSM1	4.64903599253765	4.98364727215078	4.64409448511146	4.03400445507642	6.21730709921247	8.91571600771845	7.12913243444263	4.18867940354817	7.82711235268217	4.12400278014825	7.80333092753625	7.51696756663578	4.32446252830124	2.61067408513803	3.95144931832842	4.13679589685085	3.66070912778407	3.57024282294575	3.51773248568337
TMTC4	7.55909911379477	7.84836402351476	6.81698144762884	6.7592901374631	9.09376394161443	7.40443616447759	8.31554668813486	8.27809086175536	8.26564367194521	7.22691663373778	7.6852091274253	8.49700502415476	6.28672697539301	6.05967508641524	7.40936267548121	7.11280571522492	6.9624509295232	6.92575839324311	6.73053899055702
DPYSL3	7.40766180027019	6.39396717193212	7.69420344558524	7.74350713329656	6.56101909972249	6.54471294408019	6.95692355432973	7.15521439761285	6.67394423600497	7.51856759345229	7.37644250498711	6.95841407424948	8.81305635316904	8.64923667468871	8.87266901964291	8.59990538905665	8.19934203381131	7.97538373364963	8.70831284485953
PTRF	7.90370773767451	7.46825824508347	8.21960851052344	7.8424736249567	6.82402151250672	6.76236350852418	7.1239378323898	7.7650849903162	7.080836936278	7.86863140500825	7.66799384831562	6.81099175676515	9.6834894503309	8.67426992123198	8.87714239280595	9.0647366861698	9.02383976736858	8.62918288481259	9.01557577946486
CALD1	7.75552349899575	7.32709929022017	7.93151528099148	7.57239588937108	7.19699244349509	6.96961199683884	6.79267785480708	7.94987431010676	7.31268519724884	7.74545912219746	7.40110506895941	7.50404422211638	8.94499677544546	8.84358583485488	8.27230097387605	8.69649642840364	8.2341588300965	8.17954892800043	8.7154166449227
NDRG2	7.24846155470686	7.02385480434621	6.67036894720981	6.59191623723432	6.54248336458616	6.03741147707852	6.51215387409669	7.23425523633336	6.65972461520533	6.88540295894126	5.97307436301486	5.86700448428274	8.41447531021003	7.2044169938636	8.15448414929756	8.09867719913815	8.06038602162044	8.04013028937434	7.35653714700992
STARD4	7.08251209275355	7.62664019505556	8.17695799237771	7.20834778606741	7.41417765708205	7.00650429299349	6.9762666697387	8.14455882537777	7.1464679234592	8.06735915276659	6.87198357012498	7.11990166921555	9.06143939948618	8.88314076784668	8.84054313972076	8.9634854562869	8.99300197918775	7.68758928174952	8.72565953504212
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322	5.74559350691525	3.08483429913368	4.95719060753656	4.36198286908354	4.52553360441862	4.53608866621159	3.79131522852064	4.98545874428559	3.17295549294569	5.03256631282314	4.44623706217885	3.7589904126961	6.6128818392038	5.96817840037916	7.57150313966058	6.26037891605529	6.16451833859805	6.60559113211434	5.51148067298497
LOC100506834	3.57564651843705	3.69056264967817	5.05307428171084	4.08217187439405	3.143462646085	3.86830820152271	3.52923282878451	4.23457585704387	3.63199440018869	3.89717213347878	3.99070281368962	3.43285203959193	5.21919030780411	4.3763944836723	5.79493709748901	5.40557307412733	4.79565284095164	5.53746330882122	5.11239530335972
FERMT2	7.98777626332603	7.92438958596933	7.99742051154321	8.20858555486347	7.69794535393618	7.70775014092296	7.96584043082716	7.9658854576829	8.05835217912495	8.10287000159207	8.18084307881882	7.99537331620051	9.79666634602271	9.42940713486617	8.47984589063608	9.06697401747298	8.66179069868423	8.20257336568397	9.29403016081606
SLC16A2	6.18933558486156	5.62374327802911	6.21701219236327	6.04907911066627	5.59068789127448	5.31147396962383	6.21630973126821	6.3470275709837	5.63660228851275	6.3958245777151	6.71128402066501	5.45071434724727	7.54531732330824	7.3082743204256	6.83167561349614	7.05091091313187	7.06649746238522	6.87856770203529	6.67159199742201
SOWAHA	5.50554555786857	5.73849998080137	6.31685654953335	5.18809585287687	5.02367502268072	5.04611189886346	4.97270770218881	5.89741763509149	5.354911936329	6.54744727823968	4.76466995407265	4.46748056034257	7.7945988825365	5.93036598168078	7.45187763047739	7.00761718590319	7.09193844417355	7.22745985487725	6.49477648914017
CALM1	7.9405502138749	8.50023513645324	8.14727897405455	7.6814026705583	8.09591213875889	7.80739286758874	7.38908409020638	9.10320476739785	7.90225332908422	8.372172571472	6.65083079921857	7.56797887383332	10.773220537847	8.33790660069611	10.3038493876143	9.90692021666668	9.76458181887336	9.27098554186299	9.28429135698009
